step: 2780000, arr size: 27800000
step: 2790000, arr size: 27900000
step: 2800000, arr size: 28000000
step: 2810000, arr size: 28100000
step: 2820000, arr size: 28200000
step: 2830000, arr size: 28300000
step: 2840000, arr size: 28400000
step: 2850000, arr size: 28500000
step: 2860000, arr size: 28600000
step: 2870000, arr size: 28700000
step: 2880000, arr size: 28800000
step: 2890000, arr size: 28900000
step: 2900000, arr size: 29000000
step: 2910000, arr size: 29100000
step: 2920000, arr size: 29200000
step: 2930000, arr size: 29300000
step: 2940000, arr size: 29400000
step: 2950000, arr size: 29500000
step: 2960000, arr size: 29600000
step: 2970000, arr size: 29700000
step: 2980000, arr size: 29800000
step: 2990000, arr size: 29900000
step: 3000000, arr size: 30000000
step: 3010000, arr size: 30100000
step: 3020000, arr size: 30200000
step: 3030000, arr size: 30300000
step: 3040000, arr size: 30400000
step: 3050000, arr size: 30500000
step: 3060000, arr size: 30600000
step: 3070000, arr size: 30700000
step: 3080000, arr size: 30800000
step: 3090000, arr size: 30900000
step: 3100000, arr size: 31000000
step: 3110000, arr size: 31100000
step: 3120000, arr size: 31200000
step: 3130000, arr size: 31300000
step: 3140000, arr size: 31400000
step: 3150000, arr size: 31500000
step: 3160000, arr size: 31600000
step: 3170000, arr size: 31700000
step: 3180000, arr size: 31800000
step: 3190000, arr size: 31900000
step: 3200000, arr size: 32000000
step: 3210000, arr size: 32100000
step: 3220000, arr size: 32200000
step: 3230000, arr size: 32300000
step: 3240000, arr size: 32400000
step: 3250000, arr size: 32500000
step: 3260000, arr size: 32600000
step: 3270000, arr size: 32700000
step: 3280000, arr size: 32800000
step: 3290000, arr size: 32900000
step: 3300000, arr size: 33000000
step: 3310000, arr size: 33100000
step: 3320000, arr size: 33200000
step: 3330000, arr size: 33300000
step: 3340000, arr size: 33400000
step: 3350000, arr size: 33500000
step: 3360000, arr size: 33600000
step: 3370000, arr size: 33700000
step: 3380000, arr size: 33800000
step: 3390000, arr size: 33900000
step: 3400000, arr size: 34000000
step: 3410000, arr size: 34100000
step: 3420000, arr size: 34200000
step: 3430000, arr size: 34300000
step: 3440000, arr size: 34400000
step: 3450000, arr size: 34500000
step: 3460000, arr size: 34600000
step: 3470000, arr size: 34700000
step: 3480000, arr size: 34800000
step: 3490000, arr size: 34900000
step: 3500000, arr size: 35000000
step: 3510000, arr size: 35100000
step: 3520000, arr size: 35200000
step: 3530000, arr size: 35300000
step: 3540000, arr size: 35400000
step: 3550000, arr size: 35500000
step: 3560000, arr size: 35600000
step: 3570000, arr size: 35700000
step: 3580000, arr size: 35800000
step: 3590000, arr size: 35900000
step: 3600000, arr size: 36000000
step: 3610000, arr size: 36100000
step: 3620000, arr size: 36200000
step: 3630000, arr size: 36300000
step: 3640000, arr size: 36400000
step: 3650000, arr size: 36500000
step: 3660000, arr size: 36600000

